id,name,report,formula,handler,platform_factor_id,platform_run_id,platform_net_excess_pct,platform_direction,configured_cycle,correlation,abs_correlation,mean,median,std,min,max,days,pair_rows,common_stocks_mean,common_stocks_min,common_stocks_max
verify-field-scan-20260910-candidates.report:VERIFY-F260910-12,VERIFY-F260910-12,verify-field-scan-20260910-candidates.report.csv,"RANK(book_to_market_ratio_lf) + RANK(SUM(ABS(CLOSE / DELAY(CLOSE,1) - 1) / (AMOUNT + 1),60) / 60)",book_to_market_lf_plus_impact,6aa28d3851cdfe29b2e0ba93,6aa28d3951cdfe29b2e0ba94,15.588864000000001,1,,0.7506902139206011,0.7506902139206011,0.7506902139206011,0.7526285101035923,0.03407828676720795,0.6674885231694924,0.8399971877930338,241,1189060,4933.8589211618255,4326,5190
verify-field-scan-cycle10-20260910-candidates.report:VERIFY10-F260910-12,VERIFY10-F260910-12,verify-field-scan-cycle10-20260910-candidates.report.csv,"RANK(book_to_market_ratio_lf) + RANK(SUM(ABS(CLOSE / DELAY(CLOSE,1) - 1) / (AMOUNT + 1),60) / 60)",book_to_market_lf_plus_impact,6aa28e555d52c44d2f55c2dc,6aa28e56a7f535324660b838,15.046176,1,,0.7506902139206011,0.7506902139206011,0.7506902139206011,0.7526285101035923,0.03407828676720795,0.6674885231694924,0.8399971877930338,241,1189060,4933.8589211618255,4326,5190
h03-t10-single-20260911-candidates.report:H03-T10-SINGLE,H03-T10-SINGLE,h03-t10-single-20260911-candidates.report.csv,"RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1))",impact60,6aa36bd3cffa1665a2101716,6aa36bd3ecb163ea7228cffe,16.443255999999998,1,,0.7235556716743831,0.7235556716743831,0.7235556716743831,0.722416088737455,0.04425036147225206,0.6449072737387157,0.8325734236313854,241,1190054,4937.983402489626,4331,5191
verify-field-scan-20260910-candidates.report:VERIFY-G260910-13,VERIFY-G260910-13,verify-field-scan-20260910-candidates.report.csv,"RANK(SUM(ABS(CLOSE / DELAY(CLOSE,1) - 1) / (AMOUNT + 1),60) / 60)",impact_abs_return60,6aa28d80cffa1665a210157c,6aa28d80cffa1665a210157d,14.700511999999998,1,,0.7107835041488821,0.7107835041488821,0.7107835041488821,0.7085552420364298,0.05258351998950291,0.6024107313475746,0.8217085650042555,241,1190054,4937.983402489626,4331,5191
verify-field-scan-cycle10-20260910-candidates.report:VERIFY10-G260910-13,VERIFY10-G260910-13,verify-field-scan-cycle10-20260910-candidates.report.csv,"RANK(SUM(ABS(CLOSE / DELAY(CLOSE,1) - 1) / (AMOUNT + 1),60) / 60)",impact_abs_return60,6aa28ea3a7f535324660b83a,6aa28ea43e7967143f8fae33,13.944184,1,,0.7107835041488821,0.7107835041488821,0.7107835041488821,0.7085552420364298,0.05258351998950291,0.6024107313475746,0.8217085650042555,241,1190054,4937.983402489626,4331,5191
verify-field-scan-20260910-candidates.report:VERIFY-E260910-04,VERIFY-E260910-04,verify-field-scan-20260910-candidates.report.csv,RANK(book_to_market_ratio_lf) - RANK(MARKET_CAP),book_to_market_lf_minus_size,6aa28cf2a7f535324660b832,6aa28cf3cffa1665a210157a,17.75808,1,,0.6916534600957112,0.6916534600957112,0.6916534600957112,0.6918373704006812,0.040748347694803205,0.5720217622672983,0.7904134953609121,241,1193351,4951.663900414937,4374,5193
verify-field-scan-cycle10-20260910-candidates.report:VERIFY10-E260910-04,VERIFY10-E260910-04,verify-field-scan-cycle10-20260910-candidates.report.csv,RANK(book_to_market_ratio_lf) - RANK(MARKET_CAP),book_to_market_lf_minus_size,6aa28e090f6165ec8f7f378b,6aa28e0a5d52c44d2f55c2da,16.74068,1,,0.6916534600957112,0.6916534600957112,0.6916534600957112,0.6918373704006812,0.040748347694803205,0.5720217622672983,0.7904134953609121,241,1193351,4951.663900414937,4374,5193
t10-additions-20260911-candidates.report:T10-ADD-G13-20260911,T10-ADD-G13-20260911,t10-additions-20260911-candidates.report.csv,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(-ZSCORE(RANK(MARKET_CAP))) + RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1)) + RANK(SUM(ABS(CLOSE / DELAY(CLOSE,1) - 1) / (AMOUNT + 1),60) / 60)) / 6",t10_size_plus_impact_g13,6aa3c613ecb163ea7228d06e,6aa3c61451cdfe29b2e0bcdd,19.622616,1,,0.6840853598467369,0.6840853598467369,0.6840853598467369,0.6844528270611558,0.06888092315523209,0.44407002606655877,0.8434405428783599,241,1067170,4428.091286307054,3623,5032
t10-more-additions-20260911-candidates.report:T10-ADD-AGG-IMPACT-20260911,T10-ADD-AGG-IMPACT-20260911,t10-more-additions-20260911-candidates.report.csv,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(-ZSCORE(RANK(MARKET_CAP))) + RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1)) + RANK(SUM(ABS(CLOSE / DELAY(CLOSE,1) - 1),60) / (SUM(AMOUNT,60) + 1))) / 6",t10_size_plus_impact_aggregate,6aa3ca136df2a192a47e7d33,6aa3ca1451cdfe29b2e0bce4,19.759592,1,,0.6820519985995164,0.6820519985995164,0.6820519985995164,0.6822612389654064,0.06814936994292498,0.44986699331853125,0.8389690110013726,241,1067170,4428.091286307054,3623,5032
t10-more-additions-20260911-candidates.report:T10-ADD-DOWNSIDE-IMPACT-20260911,T10-ADD-DOWNSIDE-IMPACT-20260911,t10-more-additions-20260911-candidates.report.csv,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(-ZSCORE(RANK(MARKET_CAP))) + RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1)) + RANK(SUM((ABS(CLOSE / DELAY(CLOSE,1) - 1) - (CLOSE / DELAY(CLOSE,1) - 1)) / 2,60) / (SUM(AMOUNT,60) + 1))) / 6",t10_size_plus_impact_downside,6aa3c920ecb163ea7228d078,6aa3c9208b01f62dc5146090,19.39004,1,,0.6753065043167087,0.6753065043167087,0.6753065043167087,0.6779533982942658,0.07017214287699268,0.4390132743249803,0.8322313681095009,241,1067170,4428.091286307054,3623,5032
